"Type","Built","Lot","Bed","Bath","Area","Cost","URLaddress"
"SingleFamily",1961,"0.25 Acres",4,2,"1,984","$399,958","https://www.zillow.com/homedetails/217-E-3100-S-Bountiful-UT-84010/12671939_zpid/"
"SingleFamily",1958,"0.19 Acres",3,2,"2,518","$416,314","https://www.zillow.com/homedetails/1349-N-400-E-Bountiful-UT-84010/12664250_zpid/"
"SingleFamily",1977,"0.53 Acres",5,3,"3,431",NA,"https://www.zillow.com/homedetails/1464-E-Maple-Hills-Dr-Bountiful-UT-84010/2077601253_zpid/"
"SingleFamily",1958,"0.27 Acres",4,2,"1,850","$451,608","https://www.zillow.com/homedetails/890-N-900-E-Bountiful-UT-84010/12668275_zpid/"
"SingleFamily",1993,"0.30 Acres",4,2,"1,954",NA,"https://www.zillow.com/homedetails/879-E-San-Simeon-Way-S-Bountiful-UT-84010/2077421672_zpid/"
"SingleFamily",1956,"0.16 Acres",4,3,"2,100","$428,228","https://www.zillow.com/homedetails/45-W-1300-S-Bountiful-UT-84010/12666745_zpid/"
"SingleFamily",1974,"0.30 Acres",4,3,"2,307","$496,340","https://www.zillow.com/homedetails/2415-S-900-E-Bountiful-UT-84010/12672744_zpid/"
"SingleFamily",1958,"0.24 Acres",5,2,"2,454","$462,210","https://www.zillow.com/homedetails/816-N-950-E-Bountiful-UT-84010/12668260_zpid/"
"VacantLand",1996,NA,NA,NA,NA,NA,"https://www.zillow.com/homedetails/1581-Stone-Hollow-Dr-Bountiful-UT-84010/122960140_zpid/"
"Condo",1986,NA,2,2,"1,273","$247,355","https://www.zillow.com/homedetails/650-S-Main-St-APT-2304-Bountiful-UT-84010/12667196_zpid/"
"SingleFamily",1980,"3.79 Acres",4,6,"6,887","$1,878,196","https://www.zillow.com/homedetails/3036-Cave-Hollow-Way-Bountiful-UT-84010/12673353_zpid/"
"SingleFamily",1957,"0.34 Acres",5,3,"3,162","$458,714","https://www.zillow.com/homedetails/944-E-Center-St-Bountiful-UT-84010/12668752_zpid/"
"SingleFamily",1971,"0.27 Acres",4,3,"2,500","$392,945","https://www.zillow.com/homedetails/975-E-300-S-Bountiful-UT-84010/12668930_zpid/"
"SingleFamily",1951,"9,583 sqft",5,2,"2,494","$431,402","https://www.zillow.com/homedetails/662-E-1200-N-Bountiful-UT-84010/12662384_zpid/"
"SingleFamily",1966,"10,454 sqft",4,2,"2,170","$498,394","https://www.zillow.com/homedetails/333-E-2100-S-Bountiful-UT-84010/12671402_zpid/"
"Townhouse",1999,"435 sqft",4,4,"2,200","$304,858","https://www.zillow.com/homedetails/41-E-2200-S-Bountiful-UT-84010/68430512_zpid/"
"SingleFamily",1992,"0.25 Acres",6,3,"3,558",NA,"https://www.zillow.com/homedetails/3711-S-Huntington-Dr-Bountiful-UT-84010/2076599014_zpid/"
"SingleFamily",1955,"0.35 Acres",4,2,"2,347","$457,635","https://www.zillow.com/homedetails/2211-S-150-E-Bountiful-UT-84010/12671464_zpid/"
"SingleFamily",1939,"0.21 Acres",3,2,"1,494","$367,160","https://www.zillow.com/homedetails/1343-S-200-W-Bountiful-UT-84010/12665324_zpid/"
"SingleFamily",1963,"0.38 Acres",5,4,"2,916","$478,279","https://www.zillow.com/homedetails/167-W-1800-S-Bountiful-UT-84010/249102400_zpid/"
"Townhouse",1959,"0.01 Acres",2,2,"1,536","$230,744","https://www.zillow.com/homedetails/391-E-400-N-3D-Bountiful-UT-84010/2077796072_zpid/"
"Condo",1986,NA,3,3,"1,820","$289,348","https://www.zillow.com/homedetails/499-N-200-W-UNIT-27-Bountiful-UT-84010/12667449_zpid/"
"SingleFamily",1953,"0.62 Acres",5,2,"2,429","$544,819","https://www.zillow.com/homedetails/150-E-1200-S-Bountiful-UT-84010/12665438_zpid/"
"SingleFamily",1907,"0.33 Acres",3,2,"2,195","$405,163","https://www.zillow.com/homedetails/989-N-200-W-Bountiful-UT-84010/12664399_zpid/"
"SingleFamily",1975,"0.34 Acres",5,4,"3,125","$562,932","https://www.zillow.com/homedetails/1491-E-Bluebell-Dr-Bountiful-UT-84010/12673216_zpid/"
"SingleFamily",2004,"0.81 Acres",8,8,"8,142",NA,"https://www.zillow.com/homedetails/3909-S-Monarch-Dr-W-Bountiful-UT-84010/2076603900_zpid/"
"SingleFamily",2008,"8,712 sqft",7,5,"4,560","$675,339","https://www.zillow.com/homedetails/3048-S-400-E-Bountiful-UT-84010/94679438_zpid/"
"SingleFamily",1971,"0.30 Acres",6,3,"3,098","$500,003","https://www.zillow.com/homedetails/963-E-Deborah-Cir-Bountiful-UT-84010/2077697395_zpid/"
"Townhouse",NA,"No Data",3,2,"1,622","$340,362","https://www.zillow.com/homedetails/620-Orchard-Dr-31-North-Salt-Lake-UT-84054/2077247007_zpid/"
"MultiFamily",1969,NA,8,4,"3,740","$646,247","https://www.zillow.com/homedetails/301-W-Center-St-Bountiful-UT-84010/12664589_zpid/"
"Townhouse",2003,"435 sqft",4,4,"2,916","$416,440","https://www.zillow.com/homedetails/142-Tierra-Vista-Ct-Bountiful-UT-84010/111682166_zpid/"
"Condo",1984,NA,2,2,"142","$236,776","https://www.zillow.com/homedetails/650-S-Main-St-APT-4107-Bountiful-UT-84010/12667223_zpid/"
"SingleFamily",1974,"9,583 sqft",4,3,"159","$458,721","https://www.zillow.com/homedetails/1020-E-300-S-Bountiful-UT-84010/12668898_zpid/"
"SingleFamily",1988,"0.14 Acres",5,3,"2,273","$515,911","https://www.zillow.com/homedetails/2792-Southview-Cir-Bountiful-UT-84010/12673694_zpid/"
"SingleFamily",1932,"0.71 Acres",4,2,"2,301","$359,002","https://www.zillow.com/homedetails/1115-S-Orchard-Dr-Bountiful-UT-84010/2077993854_zpid/"
"SingleFamily",1932,"0.71 Acres",4,2,"2,301","$412,923","https://www.zillow.com/homedetails/1115-Orchard-Dr-Bountiful-UT-84010/12665451_zpid/"
"SingleFamily",1975,"0.29 Acres",4,4,"2,718","$473,568","https://www.zillow.com/homedetails/2890-S-450-E-Bountiful-UT-84010/12673004_zpid/"
