"Type","Built","Lot","Bed","Bath","Area","Cost","URLaddress"
"Condo",1974,NA,1,1,"739","$183,226","https://www.zillow.com/homedetails/290-N-500-W-APT-104-Bountiful-UT-84010/68429992_zpid/"
"SingleFamily",1956,"0.22 Acres",3,2,"2,248","$403,098","https://www.zillow.com/homedetails/803-E-1130-N-Bountiful-UT-84010/12667952_zpid/"
"SingleFamily",1993,"0.67 Acres",6,4,"5,998","$888,498","https://www.zillow.com/homedetails/1157-E-1500-S-Bountiful-UT-84010/12670387_zpid/"
"SingleFamily",1966,"0.26 Acres",4,3,"2,634",NA,"https://www.zillow.com/homedetails/448-N-Davis-Blvd-E-Bountiful-UT-84010/2072639392_zpid/"
"SingleFamily",1955,"9,147 sqft",3,2,"1,802","$391,958","https://www.zillow.com/homedetails/33-W-Wicker-Ln-Bountiful-UT-84010/12671097_zpid/"
"SingleFamily",1889,"0.32 Acres",5,2,"2,647","$417,246","https://www.zillow.com/homedetails/408-E-775-N-Bountiful-UT-84010/12667710_zpid/"
"SingleFamily",1939,"0.21 Acres",2,1,"1,138","$340,893","https://www.zillow.com/homedetails/135-W-200-N-Bountiful-UT-84010/12664677_zpid/"
"SingleFamily",1949,"0.13 Acres",2,1,"912","$306,223","https://www.zillow.com/homedetails/35-W-1000-N-Bountiful-UT-84010/12664426_zpid/"
"SingleFamily",1946,"0.29 Acres",4,3,"1,904","$396,848","https://www.zillow.com/homedetails/655-N-1000-E-Bountiful-UT-84010/12668364_zpid/"
"SingleFamily",1957,"7,841 sqft",3,1,"1,130",NA,"https://www.zillow.com/homedetails/1940-S-200-W-Bountiful-UT-84010/249101732_zpid/"
"SingleFamily",1960,"0.35 Acres",4,3,"2,540","$472,644","https://www.zillow.com/homedetails/1022-E-800-N-Bountiful-UT-84010/12668292_zpid/"
"Condo",1984,NA,2,2,"924","$232,923","https://www.zillow.com/homedetails/650-S-Main-St-APT-4203-Bountiful-UT-84010/12667227_zpid/"
"Condo",1974,NA,1,2,"1,662",NA,"https://www.zillow.com/homedetails/1950-S-200-W-Bountiful-UT-84010/79767002_zpid/"
"Townhouse",1975,"435 sqft",3,4,"2,334","$317,683","https://www.zillow.com/homedetails/1950-S-200-W-APT-11-Bountiful-UT-84010/2118084007_zpid/"
"SingleFamily",1951,"0.18 Acres",4,2,"1,840","$443,588","https://www.zillow.com/homedetails/286-E-600-S-Bountiful-UT-84010/12665260_zpid/"
"SingleFamily",1965,"9,147 sqft",4,3,"2,936","$513,295","https://www.zillow.com/homedetails/2141-Claremont-Dr-Bountiful-UT-84010/12672555_zpid/"
"SingleFamily",2003,"0.50 Acres",7,5,"5,944","$702,710","https://www.zillow.com/homedetails/78-E-3100-S-Bountiful-UT-84010/12657683_zpid/"
"SingleFamily",1954,"9,583 sqft",3,2,"1,816","$443,852","https://www.zillow.com/homedetails/657-Crestwood-Cir-Bountiful-UT-84010/12662358_zpid/"
"SingleFamily",1979,"0.38 Acres",6,4,"3,676","$682,739","https://www.zillow.com/homedetails/2379-S-Cave-Hollow-Way-Bountiful-UT-84010/2080349208_zpid/"
NA,NA,NA,6,3,"4,400","$565,110","https://www.zillow.com/homedetails/990-Oakwood-Dr-Bountiful-UT-84010/68429011_zpid/"
NA,NA,NA,4,3,"2,223",NA,"https://www.zillow.com/homedetails/360-N-300-W-Bountiful-UT-84010/2072723444_zpid/"
NA,NA,NA,4,3,"2,223","$447,268","https://www.zillow.com/homedetails/360-N-300-E-Bountiful-UT-84010/12666059_zpid/"
"SingleFamily",1959,"0.20 Acres",3,1,"1,100","$343,138","https://www.zillow.com/homedetails/261-W-1400-N-Bountiful-UT-84010/12664090_zpid/"
"SingleFamily",1960,"0.37 Acres",5,2,"176","$495,516","https://www.zillow.com/homedetails/839-W-3600-S-Bountiful-UT-84010/12658364_zpid/"
"SingleFamily",1956,"0.24 Acres",5,3,"2,781","$493,773","https://www.zillow.com/homedetails/458-W-3200-S-Bountiful-UT-84010/12657453_zpid/"
"Townhouse",2018,"871 sqft",3,3,"2,033","$394,555","https://www.zillow.com/homedetails/267-E-340-N-North-Salt-Lake-UT-84054/2089990348_zpid/"
"SingleFamily",1929,"0.25 Acres",3,1,"1,872","$364,768","https://www.zillow.com/homedetails/305-N-200-E-Bountiful-UT-84010/68429893_zpid/"
"Condo",1970,NA,2,1,"939","$216,328","https://www.zillow.com/homedetails/1302-S-200-W-APT-43-Bountiful-UT-84010/12667061_zpid/"
"SingleFamily",1953,"0.27 Acres",4,3,"2,109","$405,933","https://www.zillow.com/homedetails/2976-S-150-E-Bountiful-UT-84010/12671851_zpid/"
"Condo",1986,NA,2,1,"924","$235,502","https://www.zillow.com/homedetails/650-S-Main-St-APT-3104-Bountiful-UT-84010/12667200_zpid/"
"SingleFamily",2000,"1.16 Acres",5,3,"2,906",NA,"https://www.zillow.com/homedetails/1573-E-Maple-Hills-Dr-S-Bountiful-UT-84010/2072632340_zpid/"
"Condo",1975,NA,3,4,"2,334","$349,984","https://www.zillow.com/homedetails/1950-S-200-W-APT-24-Bountiful-UT-84010/2123629474_zpid/"
"Condo",1996,NA,3,3,"2,018","$367,892","https://www.zillow.com/homedetails/159-W-Park-Shadows-Ct-Bountiful-UT-84010/68430113_zpid/"
"SingleFamily",1956,"9,583 sqft",4,2,"2,256","$388,732","https://www.zillow.com/homedetails/783-E-1050-N-Bountiful-UT-84010/12667974_zpid/"
"Townhouse",2004,"435 sqft",3,3,"1,910","$334,220","https://www.zillow.com/homedetails/1817-N-Pages-Place-Dr-Bountiful-UT-84010/68448324_zpid/"
"SingleFamily",1958,"0.24 Acres",5,2,"2,372","$395,061","https://www.zillow.com/homedetails/67-S-350-W-Bountiful-UT-84010/12666181_zpid/"
"SingleFamily",1970,"0.28 Acres",4,3,"2,304","$481,542","https://www.zillow.com/homedetails/1046-E-450-N-Bountiful-UT-84010/12668404_zpid/"
"Condo",1979,NA,3,1,"1,785","$278,989","https://www.zillow.com/homedetails/314-W-Center-St-APT-59-Bountiful-UT-84010/12666083_zpid/"
"SingleFamily",1983,"0.44 Acres",7,5,"7,345","$968,181","https://www.zillow.com/homedetails/3068-Windsor-Ln-Bountiful-UT-84010/12659568_zpid/"
"SingleFamily",2009,"0.27 Acres",5,6,"4,772","$775,231","https://www.zillow.com/homedetails/272-N-100-E-Bountiful-UT-84010/89198182_zpid/"
"SingleFamily",1973,"10,454 sqft",4,3,"2,232","$500,835","https://www.zillow.com/homedetails/457-W-3600-S-Bountiful-UT-84010/12657633_zpid/"
"Condo",1998,NA,2,2,"1,011","$250,327","https://www.zillow.com/homedetails/650-S-Main-St-APT-5102-Bountiful-UT-84010/68430209_zpid/"
"SingleFamily",1952,"0.38 Acres",3,1,"1,086","$325,268","https://www.zillow.com/homedetails/2897-S-Davis-Blvd-Bountiful-UT-84010/12671837_zpid/"
"SingleFamily",1899,"0.20 Acres",2,2,"1,375","$387,770","https://www.zillow.com/homedetails/207-N-200-E-Bountiful-UT-84010/12664731_zpid/"
"Townhouse",2005,"0.01 Acres",3,3,"1,910",NA,"https://www.zillow.com/homedetails/1733-N-Pages-Place-Dr-W-Bountiful-UT-84010/2072632302_zpid/"
"SingleFamily",1959,"8,712 sqft",3,1,"1,100","$346,506","https://www.zillow.com/homedetails/274-W-1400-N-Bountiful-UT-84010/12664116_zpid/"
"Condo",1984,NA,2,1,"924","$229,770","https://www.zillow.com/homedetails/650-S-Main-St-APT-3204-Bountiful-UT-84010/12667208_zpid/"
"SingleFamily",1966,"8,276 sqft",3,3,"2,193","$517,268","https://www.zillow.com/homedetails/2026-S-900-E-Bountiful-UT-84010/12672558_zpid/"
"SingleFamily",2009,"10,385 sqft",3,3,"4,879","$817,411","https://www.zillow.com/homedetails/258-N-100-E-Bountiful-UT-84010/89204328_zpid/"
NA,NA,NA,2,1,"944","$189,704","https://www.zillow.com/homedetails/314-W-Center-St-APT-75-Bountiful-UT-84010/2097701620_zpid/"
"Condo",1999,NA,3,2,"1,366","$281,036","https://www.zillow.com/homedetails/320-N-500-W-APT-202-Bountiful-UT-84010/68430218_zpid/"
"SingleFamily",1977,"0.28 Acres",4,3,"3,904","$632,332","https://www.zillow.com/homedetails/2341-Claremont-Dr-Bountiful-UT-84010/12672714_zpid/"
"SingleFamily",1973,"436 sqft",2,2,"146","$266,788","https://www.zillow.com/homedetails/263-E-Peach-Ln-Bountiful-UT-84010/12666524_zpid/"
"Condo",1979,NA,4,3,"142","$404,448","https://www.zillow.com/homedetails/1829-Mapleview-Dr-Bountiful-UT-84010/12673585_zpid/"
"SingleFamily",1971,"0.28 Acres",5,3,"2,944","$513,718","https://www.zillow.com/homedetails/296-Ridgeview-Dr-Bountiful-UT-84010/12668938_zpid/"
"Townhouse",2017,"871 sqft",3,3,"2,105","$421,581","https://www.zillow.com/homedetails/265-E-Ellen-Ln-North-Salt-Lake-UT-84010/249103571_zpid/"
"SingleFamily",1995,"0.26 Acres",4,3,"3,508","$671,023","https://www.zillow.com/homedetails/2902-Oakwood-Dr-Bountiful-UT-84010/12673086_zpid/"
"SingleFamily",1995,"0.26 Acres",4,3,"3,508",NA,"https://www.zillow.com/homedetails/2902-S-Oakwood-Dr-Bountiful-UT-84010/2072723371_zpid/"
"Condo",1973,NA,2,1,"925","$198,432","https://www.zillow.com/homedetails/314-W-Center-St-C-115-Bountiful-UT-84010/12666118_zpid/"
NA,NA,NA,5,3,"3,000","$464,386","https://www.zillow.com/homedetails/1953-S-Davis-Blvd-Bountiful-UT-84010/12672108_zpid/"
"SingleFamily",1953,"9,147 sqft",4,2,"1,970","$417,052","https://www.zillow.com/homedetails/652-W-3600-S-Bountiful-UT-84010/12658649_zpid/"
"SingleFamily",1950,"0.25 Acres",4,2,"1,716","$415,848","https://www.zillow.com/homedetails/684-W-3500-S-Bountiful-UT-84010/12658612_zpid/"
NA,NA,NA,3,3,"3,564",NA,"https://www.zillow.com/homedetails/240-N-Glenwood-Way-E-110-Bountiful-UT-84010/2072723497_zpid/"
"SingleFamily",1959,"8,276 sqft",4,3,"2,252","$436,077","https://www.zillow.com/homedetails/631-E-1600-S-Bountiful-UT-84010/12670153_zpid/"
"SingleFamily",2007,"3.55 Acres",7,5,"6,705","$1,566,829","https://www.zillow.com/homedetails/3960-S-Mountain-Oaks-Dr-Bountiful-UT-84010/68450090_zpid/"
"SingleFamily",1954,"0.15 Acres",3,2,"1,476","$301,128","https://www.zillow.com/homedetails/361-W-800-S-Bountiful-UT-84010/12666275_zpid/"
"SingleFamily",1972,"4,791 sqft",2,2,"230","$356,422","https://www.zillow.com/homedetails/3380-S-Davis-Blvd-Bountiful-UT-84010/12657440_zpid/"
"SingleFamily",1961,"9,147 sqft",4,2,"2,288","$416,191","https://www.zillow.com/homedetails/3363-S-675-W-Bountiful-UT-84010/12658484_zpid/"
"Condo",1976,NA,5,3,"3,250","$505,421","https://www.zillow.com/homedetails/2212-Ridgewood-Way-Bountiful-UT-84010/12673537_zpid/"
"SingleFamily",1957,"0.18 Acres",5,2,"2,050","$459,168","https://www.zillow.com/homedetails/345-E-550-N-Bountiful-UT-84010/12665868_zpid/"
NA,NA,NA,3,3,"1,910","$342,439","https://www.zillow.com/homedetails/1837-Pages-Pl-Bountiful-UT-84010/63262882_zpid/"
"Condo",1986,NA,3,3,"2,084","$384,908","https://www.zillow.com/homedetails/246-W-925-N-Bountiful-UT-84010/12667407_zpid/"
"SingleFamily",1954,"0.35 Acres",5,2,"2,312","$436,150","https://www.zillow.com/homedetails/692-W-3300-S-Bountiful-UT-84010/12658497_zpid/"
"SingleFamily",1978,"0.26 Acres",8,4,"5,037","$604,850","https://www.zillow.com/homedetails/3655-S-Canyon-Estates-Dr-Bountiful-UT-84010/2073102483_zpid/"
"SingleFamily",1950,"0.25 Acres",3,1,"2,200","$427,718","https://www.zillow.com/homedetails/3539-S-800-W-Bountiful-UT-84010/12658647_zpid/"
"SingleFamily",1954,"6,534 sqft",2,2,"1,300","$395,355","https://www.zillow.com/homedetails/369-W-800-S-Bountiful-UT-84010/12666276_zpid/"
"SingleFamily",1963,"0.25 Acres",5,NA,"2,200","$382,594","https://www.zillow.com/homedetails/267-W-2400-S-Bountiful-UT-84010/12671527_zpid/"
"Townhouse",1999,"435 sqft",3,3,"2,200","$350,769","https://www.zillow.com/homedetails/45-E-2200-S-Bountiful-UT-84010/68440217_zpid/"
"SingleFamily",2007,"10,018 sqft",6,6,"5,462","$754,437","https://www.zillow.com/homedetails/234-Mill-St-Bountiful-UT-84010/72639260_zpid/"
"SingleFamily",1990,"1.91 Acres",7,6,"9,576","$1,523,465","https://www.zillow.com/homedetails/1864-E-Ridge-Point-Dr-Bountiful-UT-84010/83232165_zpid/"
"SingleFamily",1941,"9,147 sqft",4,2,"1,703","$343,293","https://www.zillow.com/homedetails/280-W-1700-S-Bountiful-UT-84010/12666778_zpid/"
"SingleFamily",1947,"0.32 Acres",5,3,"3,410","$514,384","https://www.zillow.com/homedetails/682-W-3800-S-Bountiful-UT-84010/12658131_zpid/"
"SingleFamily",1998,"0.28 Acres",6,4,"6,238","$842,872","https://www.zillow.com/homedetails/162-N-Fairway-Dr-North-Salt-Lake-UT-84054/68429434_zpid/"
"SingleFamily",1970,"8,276 sqft",4,3,"2,255","$426,011","https://www.zillow.com/homedetails/2185-Elaine-Dr-Bountiful-UT-84010/12672617_zpid/"
"SingleFamily",1938,"871 sqft",3,NA,"938","$270,578","https://www.zillow.com/homedetails/191-E-200-N-Bountiful-UT-84010/122957651_zpid/"
"SingleFamily",1956,"8,712 sqft",5,2,"2,340","$421,578","https://www.zillow.com/homedetails/195-W-1950-S-Bountiful-UT-84010/12671068_zpid/"
"SingleFamily",1996,"8,276 sqft",6,4,"4,022","$693,834","https://www.zillow.com/homedetails/1569-N-150-W-Bountiful-UT-84010/68429983_zpid/"
"SingleFamily",1956,"7,840 sqft",5,3,"2,000","$420,239","https://www.zillow.com/homedetails/85-S-West-425-Bountiful-UT-84010/12666154_zpid/"
"Condo",1985,NA,2,2,"876","$227,873","https://www.zillow.com/homedetails/2095-S-Main-St-APT-6-Bountiful-UT-84010/12670829_zpid/"
"SingleFamily",1953,"0.24 Acres",4,2,"2,760","$453,082","https://www.zillow.com/homedetails/247-S-100-E-Bountiful-UT-84010/12665066_zpid/"
"SingleFamily",1959,"0.19 Acres",4,2,"2,278","$479,345","https://www.zillow.com/homedetails/542-E-1600-S-Bountiful-UT-84010/12670160_zpid/"
"SingleFamily",1971,"9,147 sqft",5,3,"2,404","$445,930","https://www.zillow.com/homedetails/984-E-250-S-Bountiful-UT-84010/12668875_zpid/"
"Townhouse",1978,"0.01 Acres",3,3,"2,394",NA,"https://www.zillow.com/homedetails/1324-E-Ridgewood-Ln-Bountiful-UT-84010/2072347363_zpid/"
"SingleFamily",2001,"0.25 Acres",4,3,"4,078","$703,805","https://www.zillow.com/homedetails/350-E-North-Canyon-Rd-Bountiful-UT-84010/65793595_zpid/"
"SingleFamily",1953,"6,969 sqft",3,1,"1,085","$301,538","https://www.zillow.com/homedetails/315-S-285-W-Bountiful-UT-84010/12666236_zpid/"
"SingleFamily",1997,"1.70 Acres",NA,NA,"2,705","$364,532","https://www.zillow.com/homedetails/3285-Sunset-Loop-Rd-Bountiful-UT-84010/122959303_zpid/"
"SingleFamily",1982,"436 sqft",2,2,"188","$342,517","https://www.zillow.com/homedetails/2024-Mapleview-Dr-Bountiful-UT-84010/12673611_zpid/"
"SingleFamily",1969,"6,970 sqft",5,2,"2,910","$456,505","https://www.zillow.com/homedetails/779-N-100-E-Bountiful-UT-84010/12665782_zpid/"
"SingleFamily",1957,"0.32 Acres",3,1,"1,148","$353,040","https://www.zillow.com/homedetails/412-W-1400-N-Bountiful-UT-84010/12664106_zpid/"
"SingleFamily",1965,"8,712 sqft",5,2,"2,252","$452,065","https://www.zillow.com/homedetails/2324-S-250-W-Bountiful-UT-84010/12671257_zpid/"
"SingleFamily",1978,"0.27 Acres",5,3,"3,673",NA,"https://www.zillow.com/homedetails/521-S-Woodland-Hills-Dr-E-Bountiful-UT-84010/2072632484_zpid/"
"SingleFamily",1906,"6,098 sqft",3,2,"1,297","$348,922","https://www.zillow.com/homedetails/299-E-400-N-Bountiful-UT-84010/12664507_zpid/"
"SingleFamily",1950,"0.24 Acres",6,3,"2,600","$465,728","https://www.zillow.com/homedetails/663-W-3500-S-Bountiful-UT-84010/12658630_zpid/"
"SingleFamily",1953,"0.25 Acres",5,3,"2,724","$472,112","https://www.zillow.com/homedetails/647-W-3500-S-Bountiful-UT-84010/12658628_zpid/"
"SingleFamily",1956,"0.25 Acres",5,2,"2,306","$485,134","https://www.zillow.com/homedetails/1215-N-900-E-Bountiful-UT-84010/12662399_zpid/"
"Townhouse",NA,"No Data",4,4,"2,200","$565,831","https://www.zillow.com/homedetails/269-Brigham-Lane-North-Salt-Lake-UT-84061/2085782850_zpid/"
"SingleFamily",1957,"0.36 Acres",4,3,"2,750","$529,496","https://www.zillow.com/homedetails/1150-E-600-N-Bountiful-UT-84010/12668381_zpid/"
"Townhouse",2018,"0.02 Acres",4,4,"2,105",NA,"https://www.zillow.com/homedetails/269-E-Brigham-Ln-208-Bountiful-UT-84010/2072633691_zpid/"
"SingleFamily",1975,"0.34 Acres",5,3,"3,325","$563,257","https://www.zillow.com/homedetails/1171-E-2200-S-Bountiful-UT-84010/12672706_zpid/"
NA,NA,NA,5,2,"2,118","$438,304","https://www.zillow.com/homedetails/98-W-1950-S-Bountiful-UT-84010/12671202_zpid/"
"Townhouse",1986,"435 sqft",3,3,"3,496","$437,117","https://www.zillow.com/homedetails/1890-High-Pointe-Dr-Bountiful-UT-84010/2127529154_zpid/"
"SingleFamily",1954,"0.15 Acres",4,2,"1,499","$362,426","https://www.zillow.com/homedetails/431-W-740-S-Bountiful-UT-84010/12666258_zpid/"
"SingleFamily",1972,"9,148 sqft",4,2,"1,863","$419,733","https://www.zillow.com/homedetails/3433-Dadola-Dr-Bountiful-UT-84010/12657840_zpid/"
"SingleFamily",1986,"0.92 Acres",5,3,"3,844","$816,661","https://www.zillow.com/homedetails/3559-S-950-E-Bountiful-UT-84010/12657343_zpid/"
"SingleFamily",1954,"8,712 sqft",4,3,"2,894","$517,900","https://www.zillow.com/homedetails/87-E-470-N-Bountiful-UT-84010/2086426804_zpid/"
"SingleFamily",1953,"0.25 Acres",4,2,"1,900","$401,343","https://www.zillow.com/homedetails/2987-S-150-E-Bountiful-UT-84010/12671867_zpid/"
"SingleFamily",1948,"0.33 Acres",4,1,"172","$354,518","https://www.zillow.com/homedetails/1600-Orchard-Dr-Bountiful-UT-84010/12665524_zpid/"
"SingleFamily",1997,"436 sqft",3,1,"196","$294,265","https://www.zillow.com/homedetails/1603-S-Main-St-Bountiful-UT-84010/68430150_zpid/"
"SingleFamily",1957,"8,712 sqft",2,1,"925","$261,838","https://www.zillow.com/homedetails/775-Chapel-Dr-Bountiful-UT-84010/12665608_zpid/"
"Condo",1997,NA,4,4,"2,909","$458,684","https://www.zillow.com/homedetails/737-Park-Shadows-Cir-Bountiful-UT-84010/12667629_zpid/"
"SingleFamily",1960,"0.24 Acres",4,3,"2,320","$411,846","https://www.zillow.com/homedetails/481-E-550-S-Bountiful-UT-84010/12669617_zpid/"
"SingleFamily",1954,"0.22 Acres",3,2,"1,817",NA,"https://www.zillow.com/homedetails/673-E-Crestwood-Cir-N-Bountiful-UT-84010/2072633982_zpid/"
"Townhouse",1959,"0.01 Acres",2,2,"1,360",NA,"https://www.zillow.com/homedetails/419-N-400-E-UNIT-1B-Bountiful-UT-84010/2072634868_zpid/"
"SingleFamily",2012,"8,276 sqft",4,4,"2,811","$615,706","https://www.zillow.com/homedetails/955-Lakeview-Dr-Bountiful-UT-84010/12670715_zpid/"
"SingleFamily",1967,"8,712 sqft",4,3,"2,764","$463,143","https://www.zillow.com/homedetails/1048-Claremont-Dr-Bountiful-UT-84010/12672524_zpid/"
"SingleFamily",1925,"0.26 Acres",2,1,"1,535","$302,165","https://www.zillow.com/homedetails/106-E-300-S-Bountiful-UT-84010/68429901_zpid/"
"SingleFamily",2017,"0.39 Acres",6,3,"272","$1,116,363","https://www.zillow.com/homedetails/3207-S-Freds-Pl-Bountiful-UT-84010/249104459_zpid/"
"SingleFamily",1968,"0.27 Acres",7,3,"215","$652,509","https://www.zillow.com/homedetails/626-Pheasant-Way-Bountiful-UT-84010/94679554_zpid/"
"SingleFamily",1996,"6,969 sqft",5,4,"2,916","$521,855","https://www.zillow.com/homedetails/39-E-750-N-Bountiful-UT-84010/68429886_zpid/"
"SingleFamily",1958,"9,583 sqft",4,3,"2,738","$462,486","https://www.zillow.com/homedetails/2844-S-Davis-Blvd-Bountiful-UT-84010/12671821_zpid/"
"SingleFamily",2008,"0.23 Acres",5,3,"2,952","$487,408","https://www.zillow.com/homedetails/420-E-1500-S-Bountiful-UT-84010/12670129_zpid/"
"Condo",2005,NA,2,2,"1,360","$260,699","https://www.zillow.com/homedetails/44-W-200-N-APT-5-Bountiful-UT-84010/68450333_zpid/"
NA,NA,NA,6,10,"12,303","$3,462,208","https://www.zillow.com/homedetails/1226-S-Lorien-Ct-Bountiful-UT-84010/12670805_zpid/"
"Townhouse",NA,"No Data",3,3,"1,760","$352,161","https://www.zillow.com/homedetails/2183-Orchard-Pine-Loop-25-Bountiful-UT-84010/2086281152_zpid/"
"Townhouse",NA,"No Data",3,4,"2,082","$566,900","https://www.zillow.com/homedetails/276-E-Brigham-Lane-219-North-Salt-Lake-UT-84054/2084547192_zpid/"
"SingleFamily",2021,"0.05 Acres",NA,NA,"5,614",NA,"https://www.zillow.com/homedetails/3865-Highland-Ct-Bountiful-UT-84010/145008100_zpid/"
NA,NA,NA,3,2,"1,942","$391,691","https://www.zillow.com/homedetails/248-E-1100-S-Bountiful-UT-84010/12665406_zpid/"
"VacantLand",0,NA,NA,NA,NA,NA,"https://www.zillow.com/homedetails/3865-S-Highland-Ct-E-7-Bountiful-UT-84010/2072634523_zpid/"
"SingleFamily",1946,"10,454 sqft",4,3,"3,119","$476,753","https://www.zillow.com/homedetails/270-E-1100-S-Bountiful-UT-84010/12665417_zpid/"
"SingleFamily",1965,"9,583 sqft",4,3,"1,808","$417,182","https://www.zillow.com/homedetails/206-E-1050-N-Bountiful-UT-84010/12665746_zpid/"
"SingleFamily",1989,"0.48 Acres",5,3,"4,889","$689,271","https://www.zillow.com/homedetails/86-S-Viewcrest-Dr-Bountiful-UT-84010/12670552_zpid/"
"SingleFamily",2007,"0.33 Acres",5,4,"3,381","$648,526","https://www.zillow.com/homedetails/1398-N-900-E-Bountiful-UT-84010/12662495_zpid/"
"SingleFamily",1956,"8,712 sqft",3,2,"1,485","$350,634","https://www.zillow.com/homedetails/350-W-1350-N-Bountiful-UT-84010/12664075_zpid/"
"SingleFamily",1991,"7,405 sqft",4,3,"2,366","$491,021","https://www.zillow.com/homedetails/2383-Orchard-Pl-Bountiful-UT-84010/12673708_zpid/"
"SingleFamily",1964,"9,147 sqft",4,2,"2,931","$503,607","https://www.zillow.com/homedetails/1062-Arlington-Way-Bountiful-UT-84010/12672435_zpid/"
"Condo",1982,NA,3,3,"2,970","$371,491","https://www.zillow.com/homedetails/48-W-300-S-APT-2502N-Salt-Lake-City-UT-84101/2091591035_zpid/"
"SingleFamily",2008,"2,613 sqft",5,4,"3,191",NA,"https://www.zillow.com/homedetails/1266-N-200-W-Bountiful-UT-84010/89203107_zpid/"
"SingleFamily",1963,"0.28 Acres",5,3,"2,346","$398,537","https://www.zillow.com/homedetails/726-E-1900-S-Bountiful-UT-84010/12672148_zpid/"
"SingleFamily",1955,"0.22 Acres",4,2,"2,400","$457,594","https://www.zillow.com/homedetails/50-W-1100-S-Bountiful-UT-84010/12666515_zpid/"
"Townhouse",1959,"0.01 Acres",2,2,"1,584","$255,993","https://www.zillow.com/homedetails/485-N-400-E-15A-Bountiful-UT-84010/2087108741_zpid/"
"SingleFamily",1961,"9,583 sqft",5,3,"2,744","$392,850","https://www.zillow.com/homedetails/805-N-700-E-Bountiful-UT-84010/12668121_zpid/"
"SingleFamily",1997,"436 sqft",3,1,"196","$295,134","https://www.zillow.com/homedetails/1601-S-Main-St-Bountiful-UT-84010/68430149_zpid/"
"SingleFamily",1955,"9,147 sqft",4,2,"1,726","$392,974","https://www.zillow.com/homedetails/1715-S-West-50-Bountiful-UT-84010/12665515_zpid/"
"Townhouse",1984,"436 sqft",3,3,"1,266","$285,606","https://www.zillow.com/homedetails/426-N-Orchard-Dr-APT-18-North-Salt-Lake-UT-84054/12659722_zpid/"
"SingleFamily",1955,"0.18 Acres",4,2,"2,132","$399,586","https://www.zillow.com/homedetails/443-E-1050-N-Bountiful-UT-84010/12668008_zpid/"
"SingleFamily",1957,"0.28 Acres",5,2,"2,407","$432,611","https://www.zillow.com/homedetails/827-E-1050-N-Bountiful-UT-84010/12667972_zpid/"
"SingleFamily",1974,"0.01 Acres",3,2,"1,880","$289,502","https://www.zillow.com/homedetails/3513-S-Highway-89-Bountiful-UT-84010/2089302728_zpid/"
"SingleFamily",1970,"0.21 Acres",5,3,"2,986",NA,"https://www.zillow.com/homedetails/1367-N-Sereno-Cir-E-Bountiful-UT-84010/2072632024_zpid/"
"Townhouse",1986,"0.01 Acres",3,3,"2,620","$351,442","https://www.zillow.com/homedetails/499-N-200-W-UNIT-17-Bountiful-UT-84010/12667311_zpid/"
"SingleFamily",1973,"9,583 sqft",3,3,"2,605","$544,383","https://www.zillow.com/homedetails/1453-Brentwood-Ln-Bountiful-UT-84010/12669347_zpid/"
"SingleFamily",1966,"0.23 Acres",6,4,"5,970","$688,677","https://www.zillow.com/homedetails/861-E-Millbrook-Way-Bountiful-UT-84010/12670070_zpid/"
"SingleFamily",1946,"0.25 Acres",3,3,"152","$370,158","https://www.zillow.com/homedetails/170-E-1100-S-Bountiful-UT-84010/12665414_zpid/"
"SingleFamily",1958,"9,583 sqft",4,2,"138","$439,801","https://www.zillow.com/homedetails/1840-Jeri-Dr-Bountiful-UT-84010/12672001_zpid/"
"VacantLand",NA,NA,NA,NA,NA,NA,"https://www.zillow.com/homedetails/2905-S-Cave-Hollow-Way-Bountiful-UT-84010/249103736_zpid/"
"SingleFamily",1961,"9,147 sqft",3,3,"1,768","$365,400","https://www.zillow.com/homedetails/223-E-550-N-Bountiful-UT-84010/12665884_zpid/"
"SingleFamily",1958,"0.22 Acres",4,2,"2,200",NA,"https://www.zillow.com/homedetails/1840-S-Jeri-Dr-E-Bountiful-UT-84010/2072347337_zpid/"
"VacantLand",0,NA,NA,NA,NA,NA,"https://www.zillow.com/homedetails/2905-Cave-Hollow-Way-116-Bountiful-UT-84010/2072640471_zpid/"
"SingleFamily",1976,"871 sqft",3,3,"2,550","$428,220","https://www.zillow.com/homedetails/2176-Ridgewood-Way-Bountiful-UT-84010/12673533_zpid/"
"SingleFamily",2014,"0.23 Acres",3,3,"4,581","$767,400","https://www.zillow.com/homedetails/2585-S-100-E-Bountiful-UT-84010/122959356_zpid/"
"SingleFamily",2002,"0.23 Acres",6,5,"7,272",NA,"https://www.zillow.com/homedetails/1836-S-Spring-Creek-Dr-E-Bountiful-UT-84010/2072640685_zpid/"
"SingleFamily",1958,"0.19 Acres",5,2,"2,580",NA,"https://www.zillow.com/homedetails/318-W-150-S-Bountiful-UT-84010/12664596_zpid/"
"SingleFamily",1979,"0.66 Acres",4,4,"4,488","$755,774","https://www.zillow.com/homedetails/3020-S-Cave-Hollow-Way-Bountiful-UT-84010/12673351_zpid/"
"SingleFamily",1995,"9,583 sqft",4,3,"2,324","$459,472","https://www.zillow.com/homedetails/1520-N-West-200-Bountiful-UT-84010/68429953_zpid/"
